lyrics,tags,pos,year,title,artist,color,hue_0,hue_1,hue_2,rgb,random_rgb,spotify_uri
"Mississippi in the middle of a dry spell
Jimmy Rogers on the Victrola up high
Mama's dancin' with baby on her shoulder
The sun is settin' like molasses in the sky

The boy could sing, knew how to move, everything
Always wanting more, he'd leave you longing for

Black velvet and that little boy's smile
Black velvet with that slow southern style
A new religion that'll bring ya to your knees
Black velvet if you please

Up in Memphis, the music's like a heatwave
White lightning, bound to drive you wild
Mama's baby is in the heart of every school girl
""Love Me Tender"" leaves 'em cryin' in the aisle

The way he moved, it was a sin, so sweet and true
Always wanting more, he'd leave you longing for

Black velvet and that little boy's smile
Black velvet with that slow southern style
A new religion that'll bring ya to your knees
Black velvet if you please

Every word of every song that he sang was for you
In a flash he was gone, it happened so soon
What could you do?

Black velvet and that little boy's smile
Black velvet with that slow southern style
A new religion that'll bring ya to your knees
Black velvet if you please

Black velvet and that little boy's smile
Black velvet with that slow southern style
A new religion that'll bring ya to your knees
Black velvet if you please

If you please
If you please
If you please","['aor', 'canadian', 'classic pop and rock', 'pop rock', 'rock']",18,1990,Black Velvet,Alannah Myles,black,0,0,0,"(0, 0, 0)","rgb(7, 20, 0)",1KU5EHSz04JhGg3rReGJ0N
"All the lonely nights I spend alone
Never 'round to love me, you're always gone,
'Cause you're hanging out, breaking the rules
Oh, the man has come looking for you

(You're a rebel now) Don't give a damn
(Always carrying on) With the gang
(I'm trying to tell you, boy) It's a mistake
(You won't realize) till it's too late

Don't understand why you insist
On ways of livin' such a dangerous life
Time after time, you stay away
And I just know that you're telling me lies

Black cat, nine lives, short days, long nights
Livin' on the edge, not afraid to die
Heartbeat, real strong, but not for long
Better watch your step or you're gonna die

You're so together, boy, but just at a glance
You'll do anything if given a chance
Schemin', plannin' lies to get what you need
So full of promises that you never keep

(Don't you tell yourself) That it's okay
(Sick and tired of) All of your games
(And you want me to stay) Ah, better change
(Makes no sense to me) Your crazy ways

Don't understand why you insist
On ways of livin' such a dangerous life, hoo
Time after time, you stay away
And I just know that you're telling me lies

Not afraid to die
Guitar

Black cat
Black cat
Man, I don't understand your ways
Livin' on the edge

Don't understand why you insist
On ways of livin' such a dangerous life, hoo
Time after time, you stay away
And I just know that you're telling me lies, fellas

Black cat, nine lives, short days, long nights
Livin' on the edge, not afraid to die (talkin' 'bout the man)
Heartbeat, real strong, but not for long
Better watch your step or you're gonna die (sing it up)

Black cat, nine lives, short days, long nights (yeah, yeah)
Livin' on the edge, not afraid to die (Don't, don't, don't you die)
Heartbeat, real strong, but not for long
Better watch your step or you're gonna die

Black cat
Living' on the
Heartbeat
Better watch your step","['dance', 'janet jackson escapade', 'janet-jackson', 'pop', 'pop and chart', 'the queen']",59,1990,Black Cat,Janet Jackson,black,0,0,0,"(0, 0, 0)","rgb(16, 2, 0)",4tYpYYoOI7WDxbCnPninwE
"All right!
Stop whatcha doin'
'cause I'm about to ruin
the image and the style that ya used to.
I look funny,
but yo I'm makin' money, see
so yo world I hope you're ready for me.
Now gather round
I'm the new fool in town
and my sound's laid down by the Underground.
I drink up all the Hennessey ya got on ya shelf
so just let me introduce myself
My name is Humpty, pronounced with a Umpty.
Yo ladies, oh how I like to funk thee.
And all the rappers in the top ten--please allow me to bump thee.
I'm steppin' tall, y'all,
and just like Humpty Dumpty
you're gonna fall when the stereos pump me.
I like to rhyme,  
I like my beats funky,
I'm spunky.  I like my oatmeal lumpy.
I'm sick wit dis, straight gangsta mack
but sometimes I get ridiculous
I'll eat up all your crackers and your licorice
hey yo fat girl, c'mere--are ya ticklish?
Yeah, I called ya fat.    
Look at me, I'm skinny
It never stopped me from gettin' busy
I'm a freak 
I like the girls with the boom
I once got busy in a Burger King bathroom
I'm crazy.
Allow me to amaze thee.
They say I'm ugly but it just don't faze me.
I'm still gettin' in the girls' pants
and I even got my own dance

The Humpty Dance is your chance to do the hump
Do the Humpty Hump, come on and do the Humpty Hump
Do the Humpty Hump, just watch me do the Humpty Hump
Do ya know what I'm doin', doin' the Humpty Hump
Do the Humpty Hump, do the Humpty Hump

People say ""Yo, Humpty, you're really funny lookin""
that's all right 'cause I get things cookin'
Ya stare, ya glare, ya constantly try to compare me
but ya can't get near me
I give 'em more, see, and on the floor, B,
all the girls they adore me
Oh yes, ladies, I'm really bein' sincere
'cause in a 69 my humpty nose will tickle ya rear. 
My nose is big, uh-uh I'm not ashamed
Big like a pickle, I'm still gettin' paid
I get laid by the ladies, ya know I'm in charge,
both how I'm livin' and my nose is large
I get stupid, I shoot an arrow like Cupid,
I use a word that don't mean nothin', like looptid
I sang on Doowhutchalike, and if ya missed it,
I'm the one who said just grab 'em in the biscuits
Also told ya that I like to bite
Well, yeah, I guess it's obvious, I also like to write.
All ya had to do was give Humpty a chance 
and now I'm gonna do my dance.

The Humpty Dance is your chance to do the hump
Do the Humpty Hump, come on and do the Humpty Hump
Do the Humpty Hump, just watch me do the Humpty Hump
Do ya know what I'm doin', doin' the Humpty Hump
Do the Humpty Hump, do the Humpty Hump

Oh, yeah, that's the break, y'all
Let me hear a little bit of that bass groove right here
Oh, yeah!
Now that I told ya a little bit about myself
let me tell ya a little bit about this dance
It's real easy to do--check it out

First I limp to the side like my leg was broken
Shakin' and twitchin' kinda like I was smokin'
Crazy wack funky
People say ya look like M.C. Hammer on crack, Humpty
That's all right 'cause my body's in motion
It's supposed to look like a fit or a convulsion
Anyone can play this game
This is my dance, y'all, Humpty Hump's my name
No two people will do it the same
Ya got it down when ya appear to be in pain
Humpin', funkin', jumpin',
jig around, shakin' ya rump,
and when the dude a chump pump points a finger like a stump
tell him step off, I'm doin' the Hump.

The Humpty Dance is your chance to do the hump
Do the Humpty Hump, come on and do the Humpty Hump
Do the Humpty Hump, just watch me do the Humpty Hump
Do ya know what I'm doin', doin' the Humpty Hump
Do the Humpty Hump, do the Humpty Hump

Black people, do the Humpty Hump, do the Humpty Hump
White people, do the Humpty Hump, do the Humpty Hump
Puerto Ricans, do the Humpty Hump, just keep on doin' the hump
Samoans, do the Humpty Hump, do the Humpty Hump

Let's get stupid!

The Humpty Dance is your chance to do the hump
Do the Humpty Hump, come on and do the Humpty Hump
Do the Humpty Hump, just watch me do the Humpty Hump
Do ya know what I'm doin', doin' the Humpty Hump
Do the Humpty Hump, do the Humpty Hump

Oh, yeah, come on and break it down

Once again, the Underground is in the house
I'd like to send a shout out to the whole world,
keep on doin' the Humpty Dance,
and to the ladies,
peace and humptiness forever","['hip hop', 'rock and indie']",62,1990,The Humpty Dance,Digital Underground,black,0,0,0,"(0, 0, 0)","rgb(18, 0, 19)",3OcQkcvTcohs8vO8Rd3sKF
"It ain't the clothes that you wear
It ain't the things that you buy
It ain't your house on the hill
It ain't the plane that you fly

It ain't your black limousine
It ain't your ninety-foot yacht
It ain't the things that you'll get
It ain't the things that you got

It ain't the money or the diamond rings
Honey I ain't impressed with your material things

It's the way that you love me
It's just the way that you love me
It's the way that you love me
It's just the way that you love me

It ain't your friends at the top
It ain't their fortune and fame
It ain't your heavy connections
It ain't the Hollywood game

Ain't famous people or the parties they throw
Honey I ain't impressed with all the people you know

It's just the way that you love me
(In the heat of the night)
It's just the way that you love me
(Baby)
It's just the way that you love me
(When you're loving me right)
It's just the way that you love me
(Baby)
It's just the way that you love me
(And the things that you do)
It's just the way that you love me
(Baby)
It's just the way that you love me
(Make me crazy for you)
It's just the way that you love me

It ain't the money or the diamond rings
Honey I ain't impressed with those material things

It ain't the trips to Brazil
It ain't the weekends in Rome
It ain't the French Riviera
You know I'd rather stay home

Ain't the Bahamas
It ain't Monaco
Honey I ain't impressed
With all the places we go

It's just the way that you love me
The way that you love me
The way that you love me
It's just the way that you love me
The way that you love me
(It ain't the money)
It's just the way that you love me
(Or the diamond rings)
The way that you love me
(Ain't what you buy me baby)
It's just the way that you love me
(Ain't material things)
The way that you love me
(Ain't your Maserati)
It's just the way that you love me
(Your house on the hill)
The way that you love me
(It ain't the parties)
It's just the way that you love me
(Or the trips to Brazil)","['dance-pop', 'new jack swing', 'pop', 'pop and chart']",86,1990,(It's Just) The Way That You Love Me,Paula Abdul,black,0,0,0,"(0, 0, 0)","rgb(1, 9, 0)",6Vx6TVui8rcatNrlAnUXPz
"Motownphilly's back again
Doin' a little east coast swing
Boyz II Men going off
Not too hard, not too soft

It's long overdue but now Philly's slammin'
Boyz II Men, ABC, BBD, the east coast family
Never skipped a beat, na, while cooling on South street
Jet black Benz, plenty of friends and all the Philly steaks you can eat

Back in school we used to dream about this everyday
Could it really happen or do dreams fade away?
Then we started singing them, they said it sounded smooth
So we started a group and here we are, kickin' it just for you

Motownphilly's back again
Doin' a little east coast swing
Boyz II Men going off
Not too hard, not too soft

Yo, these four new jacks is real
Smooth on the harmony tip
Nate, Mike, Shawn, and Wan
You know the mentality, keep flippin' the gift

The spotlight is on us now, watch us do this
Da da, daaa da da, da da da da da da
Live and direct from Philly town, rap and hype and we can get down
We are ready to roll, so now the world will know that we roll

Back in school we used to dream about this everyday
Could it really happen or do dreams fade away?
Then we started singing them, they said it sounded smooth
So we started a group and here we are, kickin' it just for you

Motownphilly's back again
Doin' a little east coast swing
Boyz II Men going off
Not too hard, not too soft

Boyz II Men, Boyz II Men, Boyz II Men
Boyz II Men, Boyz II Men, Boyz II Men
Then we started singing them
They said it sounded smooth (Yo, yo!)

Mmm, now check this out, one day back in Philly
Four guys wanted to sing
They came up to me, I said: ""What's your name?"" (Boyz II Men)
Hey, ya know what I'm sayin'?

Then I said: ""Alright, fellas, well let me see what you can do""
And then the smiling one named Wanya said: ""Yo, Mike, check this out
See if this one move you""

Doom doom doom da da, doom doom doom da da
Da di da di da da, da da, daa daa daa
Doom doom doom da da, doom doom doom da da
Da di da di da da, da da, daa daa daa

Motownphilly's back again
Doin' a little east coast swing
Boyz II Men going off
Not too hard, not too soft

Boyz II Men, Boyz II Men
Boyz II, Boy II Men
Boy, Boy, Boy, Boy
Boyz II Men, ABC, BBD","['contemporary r&b', 'new jack swing', 'pop', 'pop soul', 'smooth soul', 'soul', 'soul and reggae']",11,1991,Motownphilly,Boyz II Men,black,0,0,0,"(0, 0, 0)","rgb(0, 13, 0)",4LxIGAVfcQIw0zAQRyFhU8
"Yeah
Can you feel it, baby?
I can too

Come on swing it
C-come on swing it
Come on swing it
C-come on swing it

1-2-3 - Now we come to the pay off

It's such a good vibration
It's such a sweet sensation
It's such a good vibration
It's such a sweet sensation

Yo, it's about that time
To bring forth the rhythm and the rhyme
I'ma get mine, so get yours
I wanna see sweat comin' out your pores

On the house tip is how I'm swingin' this
Strictly hip-hop boy, I ain't singin' this
Bringing this to the entire nation
Black, white, red, brown, feel the vibration

Come on, come on
Feel it, feel it
Feel the vibration

It's such a good vibration
It's such a sweet sensation
It's such a good vibration
It's such a sweet sensation

Vibrations good like Sunkist
Many wanna know who done this
Marky Mark and I'm here to move you
Rhymes will groove you and I'm here to prove to you

That we can party on the positive side
And pump positive vibes
So come along for the ride
Making you feel the rhythm is my occupation
So feel the vibration

Come on, come on
Feel it, feel it
Feel the vibration

It's such a good vibration
It's such a sweet sensation
It's such a good vibration
It's such a sweet sensation

Donnie D break it down

Donnie D's on the back up
Drug free, so put the crack up
No need for speed, I'm the anti D-R-U-G-G-I-E
My body is healthy
My rhymes make me wealthy
And the Funky Bunch helps me
To bring you a show with no intoxication
Come on feel the vibration

Yeah
Can you feel it, baby?
I can too

It's such a good vibration
It's such a sweet sensation
It's such a good vibration
It's such a sweet sensation

Now the time has come for you to get up
The rest had you fed up but yo, I won't let up
On the rhythm and rhyme that's designed to
Make your behind move to what I'm inclined to

Pure hip hop, no sell out
If you ain't in it to win it then get the hell out
I command you to dance, I wanna see motivation
Come on now feel the vibration

It's such a good vibration
Come on, come on, come on
It's such a sweet sensation
Feel it, feel it

It's such a good vibration
It's such a sweet sensation (Feel the vibration)
It's such a good vibration
It's such a sweet sensation
It's such a good vibration
It's such a sweet sensation

It's such a good vibration
It's such a sweet sensation
It's such a good vibration
It's such a sweet sensation",['pop and chart'],20,1991,Good Vibrations,Marky Mark and The Funky Bunch,black,0,0,0,"(0, 0, 0)","rgb(6, 18, 0)",5hWdgGVcfTeLPAiHM6EZG9
"Oh my God, Becky, look at her butt
It is so big
She looks like one of those rap guys' girlfriends
But, you know,
Who understands those rap guys?
They only talk to her because she looks like a total prostitute, okay?

I mean her butt
It's just so big
I can't believe it's just so round
It's like out there
I mean, gross
Look, she's just so... black!

I like big butts and I cannot lie
You other brothers can't deny
That when a girl walks in with an itty-bitty waist
And a round thing in your face
You get sprung

Wanna pull up tough
'Cause you noticed that butt was stuffed?
Deep in the jeans she's wearing
I'm hooked and I can't stop staring

Oh, baby, I wanna get wit'cha
And take your picture
My homeboys tried to warn me
But that butt you got makes m-m-me so horny

Ooh, rump of smooth skin 
You say you wanna get in my Benz
Well use me, use me, 'cause you ain't that average groupie

I've seen them dancin'
To hell with romancin'
She's sweat, wet, got it goin' like a turbo 'Vette
I'm tired of magazines
Sayin' flat butts are the thing
Take the average black man and ask him that

She gotta pack much back, so...
Fellas (yeah), fellas (yeah)
Has your girlfriend got the butt? (hell yeah)
Tell them to shake it (shake it), shake it (shake it)
Shake that healthy butt
Baby got back

(L.A. face with an Oakland booty)
Baby got back
(L.A. face with an Oakland booty)

I like 'em round and big
And when I'm throwin' a gig
I just can't help myself
I'm actin' like an animal
Now here's my scandal
I wanna get you home
And uh, double-up, uh, uh

I ain't talkin' bout Playboy
'Cause silicone parts are made for toys
I want 'em real thick and juicy
So find that juicy double
Mix-a-Lot's in trouble
Beggin' for a piece of that bubble

So I'm lookin' at rock videos
Knock-kneed bimbos walkin' like hoes
You can have them bimbos
I'll keep my women like Flo Jo

A word to the thick soul sistas
I wanna get wit'cha
I won't cuss or hit ya
But I gotta be straight when I say I wanna *breathing*
Til the break of dawn

Baby got it goin' on
A lot of simps won't like this song
'Cause them punks like to hit it and quit it
And I'd rather stay and play
'Cause I'm long and I'm strong
And I'm down to get the friction on

So ladies (yeah), ladies (yeah)
If you wanna role in my Mercedes? (yeah)
Then turn around, stick it out
Even white boys got to shout
""Baby got back!""

Baby got back
Yeah, baby
When it comes to females
Cosmo ain't got nothin' to do with my selection
36-24-36 ha ha
Only if she's 5'3""

So your girlfriend rolls a Honda
Playin' workout tapes by Fonda
But Fonda ain't got a motor in the back of her Honda
My anaconda don't want none unless you got buns, hun
You can do side bends or sit-ups but please don't lose that butt

Some brothers wanna play that hard role
And tell you that the butt ain't gold
So they toss it and leave it
And I pull up quick to retrieve it
So Cosmo says you're fat
Well I ain't down with that

'Cause your waist is small and your curves are kickin'
And I'm thinkin' 'bout stickin'
To the beanpole dames in the magazines
You ain't it, Miss Thing!
Give me a sister, I can't resist her
Red beans and rice didn't miss her

Some knucklehead tried to diss
'Cause his girls are on my list
He had game but he chose to hit 'em
And I pull up quick to get wit 'em

So ladies if the butt is round
And you want a triple X throw down
Dial 1-900-MIXALOT and kick them nasty thoughts
Baby got back!

Baby got back!

Little in the middle but she got much back
Little in the middle but she got much back
Little in the middle but she got much back
Little in the middle but she got much back","['american', 'hip hop', 'hip-hop', 'pop and chart']",2,1992,Baby Got Back,Sir Mix-a-Lot,black,0,0,0,"(0, 0, 0)","rgb(8, 16, 0)",1SAkL1mYNJlaqnBQxVZrRl
"Sittin' in my class, just driftin' away
Starin' into the windows of the world, yeah
I can't hear the teacher, his books don't call me at all
I don't see the bad boys tryin' to catch some play

'Cause I love your smile
I love your smile

The clock at work says, ""Three""
And I wanna be free
Free to scream, free to bathe, free to paint
My toes all day
My boss is lame you know, and so is the pay
I'm gonna put that new black mini on my charge anyway

'Cause I love your smile
Hey said, ""I love your smile""

Time came and showed me your direction
Now I know, I'll never ever go back
Taught me that
I can be a better girl with love you give
You rock my world
You dig

I'm showin'
The life that I'm livin'
This is the life that I have
And it's given to you
Yeah and it's true
La-d-da
Twinkley D
Do you?

Believe in a girl
Like me
Shanice is the one
For you to be with
But when I'm caught
All alone
I start fessin'
It's from a state of depression

And the thunder clouds of doubt move in
I begin to wonder ""do you still love me?
But after that
My whole world is beautiful

Time came and showed me your direction
Now I know I'll never ever go back
Taught me that
I can be a better girl with love you give
You rock my world
Smile

I do, I love smile
Yes I do boy
I love the smile
I love your smile, baby
I love your smile
I really do","['80s', '90s', 'hip hop rnb and dance hall', 'one-hit wonder', 'pop', 'rnb', 'underrated']",11,1992,I Love Your Smile,Shanice,black,0,0,0,"(0, 0, 0)","rgb(0, 5, 0)",5BE3DOk0C26VCMxxT84bec
"Hey!
What?
Turn it off!
Dad, this is the the best part!
Turn it off!
No...
It's too late for this, turn it off!
Dad, this is the best part, come on!
No, turn it off now!
No, this is... I wanna listen to it, okay?
Yeah, right, too late! Sure... eat this!

Ow!
Ow!

I took my baby on a Saturday bang
Boy, is that girl with you?
Yes, we're one and the same
Now I believe in miracles
And a miracle has happened tonight, hee!
But if you're thinkin' about my baby
It don't matter if you're black or white, ooh!

They print my message in the Saturday Sun
I had to tell them I ain't second to none
And I told about equality
And it's true, either you're wrong or you're right, ooh!
But if you're thinkin' about my baby
It don't matter if you're black or white, hee!
Don't compare, hee hee!

I am tired of this devil
I am tired of this stuff
I am tired of this business
Sewn when the going gets rough

I ain't scared of your brother
I ain't scared of no sheets
I ain't scared of nobody
Ga Ga, when the goin' gets mean

Protection for gangs, clubs and nations
Causing grief in human relations
It's a turf war on a global scale
I'd rather hear both sides of the tale

See, it's not about races, just places, faces
Where your blood comes from is where your space is
I've seen the bright get duller
I'm not going to spend my life being a color

Don't tell me you agree with me
When I saw you kicking dirt in my eye
But if you're thinkin' about my baby
It don't matter if you're black or white

I said if you're thinkin' of being my baby
It don't matter if you're black or white
I said if you're thinkin' of being my brother
It don't matter if you're black or white

Alright, alright, oh
Ooh, ooh, alright
Yeah yeah yeah, now
Alright, alright, ooh ooh
Sh'mon, now
Yeah yeah yeah, now
Alright, ooh ooh

It's black, it's white
It's tough for you to get by
It's black, it's white, ooh
It's black, it's white
It's tough for you to get by
It's black, it's white
Whoo!

I am tired of this devil
I am tired of this stuff
I am tired of this business
Sewn when the going gets rough

I ain't scared of your brother
I ain't scared of no sheets
I ain't scared of nobody, Ga Ga","['american', 'américain', 'chanteur', 'classic pop and rock', 'composer', 'compositeur', 'contemporary r&b', 'contemporary rnb', 'cool', 'dance-pop', 'disco', 'funk', 'lyricist', 'michael-jackson', 'new jack swing', 'parolier', 'pop', 'pop rock', 'pop soul', 'r&b', 'rnb', 'rock', 'singer', 'soul', 'united states', 'usa']",14,1992,Black Or White,Michael Jackson,black,0,0,0,"(0, 0, 0)","rgb(0, 17, 10)",2Cy7QY8HPLk925AyNAt6OG
"Meeting Mister Right, the man of my dreams
The one who shows me true love or at least it seems
With brown cocoa skin and curly black hair
It's just the way he looks at me, that gentle lovin' stare

Finally you've come along
The way I feel about you, it just can't be wrong
If you only knew the way I feel about you
I just can't describe it, oh no, no

Finally it's happened to me
Right in front of my face
My feelings, can't describe it

Finally it's happened to me
Right in front of my face
And I just cannot hide it

Finally it's happened to me
Right in front of my face
My feelings, can't describe it

Finally it's happened to me
Right in front of my face
And I just cannot hide it

It seems so many times he seemed to be the one
But all he ever wanted was to have a little fun
But now you've come along and brightened up my world
In my heart I feel it I'm that special kind of girl

Finally you've come along
The way I feel about you, it just can't be wrong
If you only knew the way I feel about you
I just can't describe it, oh no, no

Finally it's happened to me
Right in front of my face
My feelings, can't describe it

Finally it's happened to me
Right in front of my face
And I just cannot hide it

Finally it's happened to me
Right in front of my face
My feelings, can't describe it

Finally it's happened to me
Right in front of my face
And I just cannot hide it

Finally
Oh, finally, yeah, yeah
Oh, oh
Baby, baby, yeah, yeah, oh

Finally it's happened to me
Right in front of my face
My feelings, can't describe it

Finally it's happened to me
Right in front of my face
And I just cannot hide it

Finally, oh yeah
Yeaheaheaheah...

Finally, oh yeah
Ah, ah, ah...","['90s', 'dance', 'female vocalists', 'pop', 'pop and chart']",20,1992,Finally,CeCe Peniston,black,0,0,0,"(0, 0, 0)","rgb(0, 0, 0)",0uqvSVhGgQTIdj9G51vhvv
"I can't light no more of your darkness
All my pictures seem to fade to black and white
I'm growing tired and time stands still before me
Frozen here on the ladder of my life

Too late to save myself from falling
I took a chance and changed your way of life
But you misread my meaning when I met you
Closed the door and left me blinded by the light

Don't let the sun go down on me (don't let the sun)
Although I search myself, it's always someone else I see
I'd just allow a fragment of your life to wander free
But losing everything is like the sun going down on me

I can't find, oh, the right romantic line
But see me once and see the way I feel
Don't discard me, just because you think I mean you harm
But these cuts I have, oh they need love to help them heal

Don't let the sun go down on me (don't let the sun)
Although I search myself, it's always someone else I see
I'd just allow a fragment of your life to wander free
But losing everything is like the sun going down on me

Don't let the sun go down on me (don't let the sun)
Although I search myself, it's always someone else I see
I'd just allow a fragment of your life to wander free, yeah
But losing everything is like the sun going down on me","['adult contemporary', 'blue-eyed soul', 'british', 'classic pop and rock', 'dance pop', 'dance-pop', 'english', 'pop', 'pop rock', 'pop soul', 'rhythm and blues', 'rock', 'smooth jazz', 'smooth soul', 'sophisti-pop', 'uk']",26,1992,Don't Let The Sun Go Down On Me,George Michael,black,0,0,0,"(0, 0, 0)","rgb(3, 12, 0)",7xGOvQukPKKQVLiJOPSmt0
"That old dog has chained you up, alright
Give you everything you need to live inside a twisted cage
Sleep beside an empty rage
I had a dream I was your hero

Damn, I wish I was your lover
I'd rock you 'til the daylight comes
Made sure you are smiling and warm
I am everything, tonight, I'll be your mother
I'll do such things to ease your pain
Free your mind, and you won't feel ashamed

Open up on the inside 
Gonna fill you up, gonna make you cry

This monkey can't stand to see you black and blue
I give you something sweet each time you come inside my jungle book
Or is it just too good?
Don't say you'll stay, 'cause then you go away

Damn, I wish I was your lover
I'd rock you 'til the daylight comes
Made sure you are smiling and warm
I am everything, tonight, I'll be your mother
I'll do such things to ease your pain
Free your mind, and you won't feel ashamed
Shucks, for me there is no other
You're the only shoe that fits
I can't imagine I'll grow out of it
Damn, I wish I was your lover (oh, yeah)

If I was your girl, believe me
I'd turn on the Rolling Stones
We could groove along and feel much better (guess what)
Come, let me in, mm
I could do it forever and ever and ever and ever
Give me an hour to kiss you
Walk through Heaven's door I'm sure
We don't need no doctor to feel much better
Let me in, oh
Forever and ever and ever and ever and ever

I sat on a mountainside with peace of mind
And I lay by the ocean making love to her with visions clear
Walked for days with no one near
And I return as chained and bound to you

Damn, I wish I was your lover
I'd rock you 'til the daylight comes
Made sure you are smiling and warm
I am everything, tonight, I'll be your mother
I'll do such things to ease your pain
Free your mind, and you won't feel ashamed
Shucks, for me there is no other
You're the only shoe that fits
I can't imagine I'll grow out of it
Damn, I wish I was your lover

I wanna open up, I'm gonna come inside 
I wanna fill you up, I wanna make you cry

Damn, I wish I was your lover
Gettin' on a subway, and I'm comin' uptown

Damn, I wish I was your lover
Standing on the street corner, waiting for my love to change

Damn, I wish I was your lover
And I'm feelin' like a school boy, too shy and too young, oh

Damn, I wish I was your lover
I wanna open up, I'm gonna come inside 
I wanna fill you up, I wanna make you cry

Damn, I wish I was your lover
I'm gettin' on my camel, and I'll ride it uptown, oo

Damn, I wish I was your lover
Hanging around this jungle, wishing that this love would change","['adult contemporary', 'pop', 'rock']",34,1992,Damn I Wish I Was Your Lover,Sophie B. Hawkins,black,0,0,0,"(0, 0, 0)","rgb(14, 0, 0)",7kmfQ2QHwGqRCxVHDv5mzo
"Lord I've really been real stressed
Down and out, losing ground
Although I am Black and proud
Problems got me pessimistic

Brothers and sisters keep messing up
Why does it have to be so damn tough?
I don't know where I can go
To let these ghosts out of my skull

My grandma's passed, my brother's gone
I never at once felt so alone
I know you're supposed to be my steering wheel
Not just my spare tire (home)

But Lord I ask you (home)
To be my guiding force and truth (home)
For some strange reason it had to be (home)
He guided me to Tennessee (home)

Take me to another place
Take me to another land
Make me forget all that hurts me
Let me understand your plan

Take me to another place
Take me to another land
Make me forget all that hurts me
Let me understand your plan

Lord it's obvious we got a relationship
Talkin' to each other every night and day
Although you're superior over me
We talk to each other in a friendship way

Then outta nowhere you tell me to break
Outta the country and into more country
Past Dyersburg into Ripley
Where the ghost of childhood haunts me

Walk the roads my forefathers walked
Climbed the trees my forefathers hung from
Ask those trees for all their wisdom
They tell me my ears are so young (home)

Go back to from whence you came (home)
My family tree, my family name (home)
For some strange reason it had to be (home)
He guided me to Tennessee (home)

Take me to another place
Take me to another land
Make me forget all that hurts me
Let me understand your plan

Take me to another place
Take me to another land
Make me forget all that hurts me
Let me understand your plan

Eshe?  She went down to Holly Springs.
Rasha Don and Baba?  They went down to Peachtree.
Headliner, I challenge you to a game of horseshoes.
A game of horseshoes!

Now I see the importance of history
Why my people be in the mess that they be
Many journeys to freedom made in vain
My brothers on the corner playing ghetto games

I ask you Lord why you enlightened me
Without the enlightenment of all my folks
He said 'cause I set myself on a quest for truth
And you was there to quench my thirst
But I am still thirsty...

The Lord allowed me to drink some more
He said what I am searching for
Are the answers to all which are in front of me
The ultimate truth started to get blurry
For some strange reason it had to be
It was all a dream about Tennessee

Take me to another place (Home)
Take me to another land (Home)
Make me forget all that hurts me
Let me understand your plan

Take me to another place (Home)
Take me to another land (Home)
Make me forget all that hurts me
Let me understand your plan

Oh won't you let me
Won't you help me
Won't you help me understand you plan?
Take me home
Take me home
Home
Take me to another place
Take me home
Oh you know I need to go home, yeah

Headliner? I won the game of horseshoes.
Now you owe me a watermelon.
Let's go climb trees and skip over rocks,
Do like they do below the border.
Hmm? Speech's hair?
No it look like the roots of the tree my ancestors were hung from.
But that's okay, get it, 'cuz he's down to earth.
Tennessee.
Tennessee, Whoo! Yeah
Tennessee.

Te-Tenness...","['boom bap', 'classic pop and rock', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'southern hip hop']",40,1992,Tennessee,Arrested Development,black,0,0,0,"(0, 0, 0)","rgb(0, 17, 4)",1aaoIHFT9UqhlaEwLAhh00
"See I was resting at the park minding my own
Business as I kick up the treble tone
On my radio tape player box, right
Just loud enough so folks could hear it's hype, see?

Outta nowhere comes a woman I'm dating
Investigation maybe she was demonstrating
But nevertheless I was pleased
My day was going great and my soul was at ease

Until a group of brothers started bugging out
Drinking the 40 oz, going the nigga route
Disrespecting my black queen
Holding their crotches and being obscene

At first I ignored them 'cause see I know their type
They got drunk and got guns and they wanna fight
And they see a young couple having a time that's good
And their egos wanna test a brother's manhood

So they came to test Speech cause of my hair-do
And the loud bright colors that I wear (Boo)
I was a target 'cause I'm a fashion misfit
And the outfit that I'm wearing brothers dissing it

Well I stay calm and pray the niggaz leave me be
But they're squeezing parts of my date's anatomy
Why, Lord, do brothers have to drill me?
'Cause if I start to hit this man they'll have to kill me

I am everyday people, yeah
See I am everyday people, yeah

I told the niggaz please let us pass, friend
I said please 'cause I don't like killing Africans
But he wouldn't stop and I ain't Ice Cube
But I had to take the brother out for being rude

And like I said before I was mad by then
It took three or four cops to pull me off of him
But that's the story y'all of a black man
Acting like a nigga and get stomped by an African

You see
I am everyday people, yeah
You see, I am everyday people

The moral of the story is
You never know who you're steppin' to
You might be stabbed, shot, killed, or hurt
It's not even worth it
Hey you know, you know, you know, hit it

Wo oh oh why
Wo oh oh why
Wo oh oh why
Wo oh oh why
Wo oh oh why
Wo oh oh why","['boom bap', 'classic pop and rock', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'southern hip hop']",67,1992,People Everyday,Arrested Development,black,0,0,0,"(0, 0, 0)","rgb(0, 3, 0)",5thts3213xwSroRd11fv5A
